Wall time,Step,Value
1544262873.8770435,1,4.734601974487305
1544269821.308573,2,4.184335708618164
1544276762.7488053,3,3.1668856143951416
1544283705.0853972,4,2.9104888439178467
1544290644.3406835,5,2.992060899734497
1544297585.066909,6,2.1892988681793213
1544304526.8540835,7,2.271496295928955
1544311464.762222,8,1.8037618398666382
1544318423.7561874,9,1.587813138961792
1544325355.56661,10,1.4816540479660034
1544332299.6437182,11,1.5172516107559204
1544339234.299214,12,1.3991516828536987
1544346172.306223,13,1.4330228567123413
1544353101.0245798,14,1.2642903327941895
1544360034.4478037,15,1.439653754234314
1544366968.8620746,16,1.1497538089752197
1544373902.8733296,17,1.1229848861694336
1544380830.5201154,18,1.0854872465133667
1544387757.149719,19,1.1284432411193848
1544394682.476924,20,1.1032500267028809
1544401606.5385427,21,1.0597492456436157
